Sample,Frequency(Hz),Magnitude(dB),Phase(deg)
0,10,26.0031,179.616
1,11.2332,26.0076,179.621
2,12.6186,26.0093,179.562
3,14.1747,26.0098,179.508
4,15.9228,26.0114,179.444
5,17.8865,26.0136,179.408
6,20.0923,26.0139,179.325
7,22.5702,26.0154,179.256
8,25.3536,26.0168,179.155
9,28.4804,26.0204,179.01
10,31.9927,26.0205,178.954
11,35.9381,26.018,178.808
12,40.3702,26.015,178.674
13,45.3488,26.009,178.478
14,50.9414,25.9997,178.274
15,57.2237,25.9944,178.098
16,64.2807,25.9912,177.939
17,72.2081,25.995,177.674
18,81.1131,25.9978,177.329
19,91.1163,25.9983,176.981
20,102.353,25.9954,176.641
21,114.976,25.9922,176.311
22,129.155,25.9879,175.844
23,145.083,25.9835,175.218
24,162.975,25.9754,174.711
25,183.074,25.9564,173.924
26,205.651,25.9524,173.307
27,231.013,25.9501,172.522
28,259.502,25.9416,171.555
29,291.505,25.919,170.585
30,327.455,25.9067,169.478
31,367.838,25.8631,168.059
32,413.201,25.8075,166.805
33,464.159,25.7385,165.451
34,521.401,25.6557,163.792
35,585.702,25.5934,161.8
36,657.933,25.4322,159.46
37,739.072,25.3191,157.558
38,830.218,25.1608,154.942
39,932.603,24.9578,152.193
40,1047.62,24.6972,149.531
41,1176.81,24.4035,146.627
42,1321.94,24.0753,143.452
43,1484.97,23.6767,140.265
44,1668.1,23.2346,137.197
45,1873.82,22.748,133.978
46,2104.9,22.1946,130.505
47,2364.49,21.5992,127.146
48,2656.09,20.9454,123.843
49,2983.65,20.2327,120.969
50,3351.6,19.4651,118.267
51,3764.94,18.6514,116.193
52,4229.24,17.8137,113.165
53,4750.81,16.9719,110.778
54,5336.7,16.0708,109.231
55,5994.84,15.1179,107.148
56,6734.15,14.186,104.792
57,7564.63,13.262,103.354
58,8497.53,12.2718,102.938
59,9545.48,11.3316,100.534
60,10722.7,10.3555,99.9257
61,12045,9.37442,98.7959
62,13530.5,8.39266,97.582
63,15199.1,7.40403,97.2345
64,17073.5,6.40849,96.137
65,19179.1,5.40176,95.0379
66,21544.3,4.40918,94.7386
67,24201.3,3.42406,93.6949
68,27185.9,2.42861,93.8824
69,30538.6,1.45401,93.2376
70,34304.7,0.388783,93.604
71,38535.3,-0.596934,93.0786
72,43287.6,-1.59686,91.8328
73,48626,-2.62416,92.6963
74,54622.8,-3.64998,89.735
75,61359.1,-4.55831,89.749
76,68926.1,-5.57147,89.4642
77,77426.4,-6.41925,91.9533
78,86974.9,-7.4462,91.321
79,97701,-8.52441,88.6352
80,109750,-9.32785,88.7362
81,123285,-10.3367,87.2387
82,138489,-11.2038,88.4464
83,155568,-12.1377,86.7095
84,174753,-13.0391,86.5789
85,196304,-13.8358,88.5805
86,220513,-14.7627,85.8136
87,247708,-15.434,85.7582
88,278256,-16.2808,84.4224
89,312572,-16.9009,85.1069
90,351119,-17.2621,80.7065
91,394421,-17.4585,80.4128
92,443062,-18.056,78.5781
93,497702,-18.2726,83.3695
94,559081,-18.1691,74.4387
95,628029,-18.1283,77.5339
96,705480,-17.6812,79.4661
97,792483,-18.0357,73.869
98,890215,-17.7081,75.0547
99,1e+06,-16.926,70.1892
